Date,Open,High,Low,Close,Adj. Close,Change,Volume
"Jan 5, 2026",402,405,402,402,402,-,27
"Jan 2, 2026",400,405,390,402,402,-,84
"Dec 31, 2025",414,414,400,402,402,0.56%,117
"Dec 30, 2025",390,414.5,386,399.75,399.75,-3.62%,378
"Dec 29, 2025",415,415,415,414.75,414.75,-,27
"Dec 24, 2025",415,415,415,414.75,414.75,-,36
"Dec 23, 2025",410,415,410,414.75,414.75,-,9
"Dec 22, 2025",414.5,415,400,414.75,414.75,0.06%,101
"Dec 19, 2025",400,400,400,414.5,414.5,-,2
"Dec 17, 2025",400,414.5,400,414.5,414.5,-,7
"Dec 16, 2025",414.5,414.5,401.5,414.5,414.5,-,15
"Dec 11, 2025",415,415,387,414.5,414.5,3.24%,486
"Dec 10, 2025",386,430,386,401.5,401.5,-,11
"Dec 9, 2025",440,440,387,401.5,401.5,-,70
"Dec 8, 2025",405,405,405,401.5,401.5,-,1
"Dec 5, 2025",399.5,399.5,399.5,401.5,401.5,-,34
"Dec 4, 2025",398,398,390,401.5,401.5,-,6
"Dec 3, 2025",398,398,398,401.5,401.5,-,3
"Dec 2, 2025",382,405,382,401.5,401.5,5.66%,140
"Nov 28, 2025",380,380,380,380,380,-,105
"Nov 27, 2025",380,380,380,380,380,0.66%,149
"Nov 26, 2025",380,380,370,377.5,377.5,-1.69%,"1,358"
"Nov 25, 2025",385,400,375,384,384,-0.32%,806
"Nov 24, 2025",388.5,388.5,380,385.25,385.25,-0.84%,"2,169"
"Nov 21, 2025",388.5,388.5,388.5,388.5,388.5,-,102
"Nov 20, 2025",399,400,375,388.5,388.5,-2.94%,225
"Nov 19, 2025",403,405,399,400.25,400.25,-3.61%,501
"Nov 18, 2025",415.25,415.25,400.25,415.25,415.25,-,13
"Nov 17, 2025",415,425,413,415.25,415.25,3.75%,325
"Nov 14, 2025",418,425,415,400.25,400.25,-,35
"Nov 13, 2025",401,415,401,400.25,400.25,-,28
"Nov 12, 2025",401,415,401,400.25,400.25,-,32
"Nov 11, 2025",413,413,401,400.25,400.25,-,13
"Nov 10, 2025",412,412,400,400.25,400.25,-,106
"Nov 7, 2025",415,415,410,400.25,400.25,-,3
"Nov 6, 2025",413,413,400,400.25,400.25,-2.62%,373
"Nov 5, 2025",413,413,413,411,411,-,5
"Nov 4, 2025",415,415,410,411,411,-0.96%,201
"Nov 3, 2025",415,415,412.75,415,415,-,359
"Oct 31, 2025",413,413,400,415,415,-,52
"Oct 30, 2025",415,415,413,415,415,-,35
"Oct 29, 2025",406,415,406,415,415,-2.35%,286
"Oct 28, 2025",406,406,406,425,425,-,9
"Oct 27, 2025",415,415,400,425,425,-,6
"Oct 24, 2025",400,415,400,425,425,-,3
"Oct 23, 2025",400,415,400,425,425,-,6
"Oct 22, 2025",415,415,415,425,425,-,5
"Oct 21, 2025",415,415,410,425,425,-,34
"Oct 16, 2025",425,425,425,425,425,5.85%,190
"Oct 15, 2025",425,425,425,401.5,401.5,-,1
"Oct 14, 2025",401.5,401.5,401.5,401.5,401.5,-,1
"Oct 13, 2025",425,425,396,401.5,401.5,0.75%,290
"Oct 9, 2025",415,426,395.5,398.5,398.5,-5.23%,348
"Oct 8, 2025",426,426,420,420.5,420.5,0.90%,116
"Oct 7, 2025",430,430,430,416.75,416.75,-,3
"Oct 6, 2025",395,429,395,416.75,416.75,-2.17%,154
"Oct 3, 2025",439,439,428.5,426,426,-,11
"Oct 2, 2025",426,426,425,426,426,0.89%,316
"Oct 1, 2025",424,424,422,422.25,422.25,2.12%,109
"Sep 30, 2025",425,425,424,413.5,413.5,-,20
"Sep 29, 2025",424,424,423,413.5,413.5,-,75
"Sep 25, 2025",425,425,396,413.5,413.5,4.55%,100
"Sep 24, 2025",425,425,396,395.5,395.5,-,7
"Sep 23, 2025",426,426,425,395.5,395.5,-,4
"Sep 22, 2025",396,396,396,395.5,395.5,-,10
"Sep 19, 2025",425,425,395,395.5,395.5,-,96
"Sep 18, 2025",430,430,390,395.5,395.5,-4.00%,6
"Sep 17, 2025",395.5,423,395.5,412,412,4.17%,27
"Sep 16, 2025",400,400,395.5,395.5,395.5,-,77
"Sep 15, 2025",422,422,390,395.5,395.5,1.80%,117
"Sep 12, 2025",422,422,422,388.5,388.5,-,12
"Sep 11, 2025",391,422,385,388.5,388.5,-8.16%,"1,158"
"Sep 10, 2025",422,422,422,423,423,0.36%,1
"Sep 9, 2025",423,423,420,421.5,421.5,-0.35%,39
"Sep 8, 2025",423,423,422,423,423,8.46%,147
"Sep 5, 2025",395,395,390,390,390,1.30%,"13,754"
"Sep 4, 2025",395,395,395,385,385,-,1
"Sep 3, 2025",390,425,372,385,385,-1.28%,"1,929"
"Sep 2, 2025",390,390,390,390,390,-1.39%,267
"Sep 1, 2025",395,400,395,395.5,395.5,2.20%,110
"Aug 28, 2025",425.5,425.5,425.5,387,387,-,4
"Aug 27, 2025",400.5,400.5,400.5,387,387,-,3
"Aug 26, 2025",387,387,387,387,387,-,10
"Aug 25, 2025",400,410,386,387,387,1.57%,"2,125"
"Aug 21, 2025",419,419,419,381,381,-,1
"Aug 20, 2025",408,408,380,381,381,-4.75%,"9,607"
"Aug 19, 2025",408,408,372,400,400,-,89
"Aug 18, 2025",400,400,400,400,400,7.53%,"1,447"
"Aug 15, 2025",370.75,400,370,372,372,-7.64%,352
"Aug 14, 2025",410,410,395,402.75,402.75,4.41%,21
"Aug 13, 2025",410,410,380,385.75,385.75,-3.56%,381
"Aug 12, 2025",400,400,400,400,400,-,229
"Aug 11, 2025",410,410,400,400,400,-2.44%,710
"Aug 8, 2025",410,410,410,410,410,-6.61%,174
"Jul 24, 2025",439,439,439,439,439,9.75%,100
"Jul 22, 2025",400,400,400,400,400,-,400
"Jul 11, 2025",400,400,400,400,400,8.18%,200
"Jul 10, 2025",366,400,365,369.75,369.75,1.23%,800
"Jul 4, 2025",365.25,365.25,365.25,365.25,365.25,-7.53%,100
"Jul 3, 2025",395,395,395,395,395,-1.25%,100
"Jul 2, 2025",400,400,400,400,400,-,100
"Jul 1, 2025",400,400,400,400,400,-,100
"Jun 17, 2025",400,400,400,400,400,-,100
"Jun 12, 2025",400,400,400,400,400,9.59%,600
"Jun 9, 2025",365,365,365,365,365,-,"7,500"
"Jun 5, 2025",365,365,365,365,365,-,100
"May 29, 2025",365,365,365,365,357,-,100
"May 23, 2025",365,365,365,365,357,-7.83%,100
"May 19, 2025",396,396,396,396,387.32,-9.79%,200
"May 13, 2025",439,439,439,439,429.38,-0.23%,100
"May 12, 2025",440,440,440,440,430.36,-,100
"May 9, 2025",440,440,440,440,430.36,7.06%,100
"May 6, 2025",411,411,411,411,401.99,-,100
"May 2, 2025",411,411,411,411,401.99,-6.59%,100
"Apr 22, 2025",440,440,440,440,430.36,7.06%,100
"Apr 15, 2025",411,411,411,411,401.99,-6.59%,100
"Apr 10, 2025",440,440,440,440,430.36,7.06%,200
"Apr 9, 2025",411,411,411,411,401.99,-6.59%,200
"Apr 8, 2025",440,440,440,440,430.36,9.86%,100
"Apr 3, 2025",400,440,400,400.5,391.72,0.13%,"8,900"
"Apr 2, 2025",400,400,400,400,391.23,-,100
"Mar 27, 2025",400,400,400,400,391.23,-,900
"Mar 26, 2025",400,400,400,400,391.23,-,100
"Mar 12, 2025",400,400,400,400,391.23,-,100
"Mar 10, 2025",400,400,400,400,391.23,-2.44%,400
"Feb 27, 2025",410,410,410,410,401.01,2.56%,100
"Feb 19, 2025",396,434,390,399.75,390.99,0.95%,700
"Feb 18, 2025",396,396,396,396,387.32,-,800
"Feb 12, 2025",396,396,396,396,387.32,-1.00%,200
"Feb 7, 2025",400,400,400,400,391.23,-6.98%,600
"Feb 5, 2025",430,430,430,430,420.58,-,100
"Feb 3, 2025",430,430,430,430,420.58,-0.92%,100
"Jan 30, 2025",434,434,434,434,424.49,9.87%,100
"Jan 15, 2025",395,395,395,395,386.34,-1.25%,"2,000"
"Jan 10, 2025",400,400,400,400,391.23,1.91%,200
"Jan 2, 2025",400,400,385,392.5,383.9,1.95%,200
"Dec 24, 2024",385,385,385,385,376.56,-,200
"Dec 11, 2024",385,385,385,385,376.56,-3.75%,200
"Dec 3, 2024",400,400,400,400,391.23,0.76%,100
"Nov 25, 2024",397,397,397,397,388.3,-,"3,600"
"Nov 18, 2024",388.3,388.3,388.3,397,388.3,-,-
"Nov 15, 2024",397,397,397,397,388.3,-9.77%,100
"Nov 13, 2024",440,440,440,440,430.36,1.38%,100
"Nov 11, 2024",434,434,434,434,424.49,-,200
"Nov 7, 2024",434,434,434,434,424.49,0.06%,100
"Oct 31, 2024",433.75,433.75,433.75,433.75,424.24,9.26%,200
"Oct 28, 2024",397,397,397,397,388.3,-0.06%,900
"Oct 24, 2024",397.25,397.25,397.25,397.25,388.54,0.25%,100
"Oct 23, 2024",396,439.75,396,396.25,387.57,-9.84%,"28,000"
"Oct 16, 2024",439,440,439,439.5,429.87,-0.06%,200
"Oct 4, 2024",439.75,439.75,439.75,439.75,430.11,-,100
"Oct 1, 2024",439.75,439.75,439.75,439.75,430.11,9.94%,100
"Sep 30, 2024",400,400,400,400,391.23,-0.12%,"4,100"
"Sep 25, 2024",400,415,400,400.5,391.72,5.12%,"2,500"
"Sep 20, 2024",381,381,381,381,372.65,-4.75%,500
"Sep 19, 2024",400,400,400,400,391.23,-,200
"Sep 18, 2024",400,400,400,400,391.23,4.92%,300
"Sep 13, 2024",390,390,380,381.25,372.89,-9.23%,"3,000"
"Sep 9, 2024",420,420,420,420,410.79,3.07%,200
"Sep 5, 2024",399,420,399,407.5,398.57,1.88%,500
"Sep 3, 2024",400,400,400,400,391.23,0.25%,200
"Aug 28, 2024",399,399,399,399,390.25,5.00%,500
"Aug 27, 2024",380,380,380,380,371.67,-,100
"Aug 22, 2024",380,380,380,380,371.67,-,200
"Aug 21, 2024",380,380,380,380,371.67,-,"1,500"
"Aug 16, 2024",380,380,380,380,371.67,-,100
"Aug 13, 2024",380,380,380,380,371.67,2.70%,600
"Aug 12, 2024",370,370,370,370,361.89,-2.63%,100
"Aug 9, 2024",380,380,380,380,371.67,2.70%,100
"Aug 5, 2024",370,370,370,370,361.89,-,500
"Aug 2, 2024",370,370,370,370,361.89,2.78%,"2,600"
"Jul 29, 2024",360,360,360,360,352.11,-,100
"Jul 24, 2024",360,360,360,360,352.11,-,"1,000"
"Jul 22, 2024",360,360,360,360,352.11,1.34%,"6,800"
"Jul 8, 2024",355.75,355.75,355,355.25,347.46,-0.07%,500
"Jul 4, 2024",355.5,355.5,355.5,355.5,347.71,0.07%,200
"Jun 26, 2024",355,355.5,355,355.25,347.46,-3.33%,900
"Jun 21, 2024",353,372,353,367.5,359.45,3.96%,"4,300"
"Jun 18, 2024",380,380,342,353.5,345.75,-6.97%,400
"Jun 14, 2024",380,380,380,380,371.67,-9.52%,100
"May 30, 2024",420,420,420,420,387.32,-,100
"May 22, 2024",420,420,420,420,387.32,6.06%,100
"May 21, 2024",396,396,396,396,365.19,-,100
"May 17, 2024",396,396,396,396,365.19,6.45%,100
"Apr 9, 2024",372,372,372,372,343.06,-,200
"Apr 8, 2024",372,372,372,372,343.06,0.20%,300
"Mar 21, 2024",372,372,371,371.25,342.36,0.07%,300
"Mar 20, 2024",371,371,371,371,342.13,-1.00%,300
"Mar 18, 2024",375,375,372,374.75,345.59,1.01%,"1,000"
"Mar 6, 2024",371,371,371,371,342.13,0.95%,700
"Feb 20, 2024",375,375,365,367.5,338.91,-4.55%,400
"Feb 9, 2024",385,385,385,385,355.04,-,300
"Feb 8, 2024",385,385,385,385,355.04,5.77%,100
"Jan 24, 2024",364,364,364,364,335.68,-5.45%,100
"Jan 23, 2024",385,385,385,385,355.04,6.94%,100
"Jan 16, 2024",360,360,360,360,331.99,-,100
"Jan 8, 2024",360,360,360,360,331.99,-6.49%,500
"Jan 4, 2024",385,385,385,385,355.04,-,200
"Dec 7, 2023",385,385,385,385,355.04,-5.17%,500
"Dec 5, 2023",406,406,406,406,374.41,5.45%,100
"Dec 4, 2023",385,385,385,385,355.04,-,"4,000"
"Nov 30, 2023",385,385,385,385,355.04,-0.26%,100
"Nov 27, 2023",387,387,385,386,355.97,0.26%,400
"Nov 17, 2023",385,385,385,385,355.04,-4.47%,200
"Nov 1, 2023",403,403,403,403,371.64,4.40%,100
"Oct 26, 2023",386,386,386,386,355.97,-4.69%,"4,300"
"Oct 24, 2023",405,405,405,405,373.49,-0.25%,100
"Oct 12, 2023",406,406,406,406,374.41,-,300
"Oct 11, 2023",406,406,406,406,374.41,-,400
"Oct 6, 2023",406,406,406,406,374.41,-1.93%,100
"Oct 5, 2023",414,414,414,414,381.79,-0.24%,500
"Oct 4, 2023",415,415,415,415,382.71,-,100
"Oct 3, 2023",415,415,415,415,382.71,7.79%,100
"Oct 2, 2023",385,385,385,385,355.04,-,"1,000"
"Sep 21, 2023",385,385,385,385,355.04,-7.23%,800
"Sep 20, 2023",415,415,415,415,382.71,7.86%,100
"Sep 8, 2023",384.75,384.75,384.75,384.75,354.81,-,100
"Sep 1, 2023",400,400,380,384.75,354.81,-1.35%,900
"Aug 31, 2023",390,390,390,390,359.65,-2.50%,200
"Aug 28, 2023",400,400,400,400,368.88,2.83%,100
"Aug 25, 2023",390,390,385,389,358.73,-3.59%,"1,000"
"Aug 17, 2023",389,418,389,403.5,372.1,4.06%,200
"Aug 9, 2023",400,400,386.25,387.75,357.58,-7.24%,"1,000"
"Aug 4, 2023",418,418,418,418,385.48,-,100
"Aug 3, 2023",418,418,418,418,385.48,9.42%,"1,000"
"Jul 26, 2023",382,382,382,382,352.28,-0.13%,600
"Jul 25, 2023",384.5,384.5,381,382.5,352.74,-0.52%,800
"Jul 24, 2023",385,385,382,384.5,354.58,-8.01%,"2,000"
"Jul 10, 2023",418,418,418,418,385.48,-,100
"Jul 7, 2023",418,418,418,418,385.48,7.18%,100
"Jul 6, 2023",390,390,390,390,359.65,1.96%,100
"Jun 29, 2023",382.5,382.5,382.5,382.5,352.74,0.13%,100
"Jun 27, 2023",382,382,382,382,352.28,-8.61%,700
"Jun 14, 2023",418,418,418,418,385.48,10.00%,100
"Jun 13, 2023",380,380,380,380,350.43,-3.92%,100
"Jun 9, 2023",390,400,390,395.5,364.73,-5.83%,900
"Jun 7, 2023",420,420,420,420,387.32,-,400
"Jun 6, 2023",420,420,420,420,387.32,6.33%,800
"Jun 2, 2023",395,395,395,395,364.27,-5.73%,200
"May 30, 2023",419,419,419,419,364.27,0.96%,200
"May 29, 2023",415,415,415,415,360.79,-1.72%,100
"May 26, 2023",425,425,415,422.25,367.09,-1.75%,700
"May 18, 2023",429.75,429.75,429.75,429.75,373.61,7.71%,100
"May 16, 2023",399,399,399,399,346.88,-7.21%,100
"May 11, 2023",430,430,430,430,373.83,1.18%,200
"May 9, 2023",425,425,425,425,369.48,-1.16%,100
"May 8, 2023",430,430,430,430,373.83,0.47%,200
"May 5, 2023",430,430,426,428,372.09,-0.47%,200
"May 4, 2023",430,430,430,430,373.83,0.94%,200
"May 3, 2023",426,426,426,426,370.35,0.35%,100
"Apr 28, 2023",424.5,424.5,424.5,424.5,369.05,9.97%,100
"Apr 27, 2023",386,386,386,386,335.58,9.97%,"1,000"
"Apr 26, 2023",351,351,351,351,305.15,9.95%,100
"Apr 24, 2023",319.25,319.25,319.25,319.25,277.55,9.99%,100
"Apr 17, 2023",290.25,290.25,290.25,290.25,252.33,9.94%,100
"Mar 30, 2023",264,264,264,264,229.51,10.00%,100
"Mar 22, 2023",240,240,240,240,208.65,-37.54%,"2,000"
"Mar 17, 2023",385.5,385.5,380,384.25,334.06,-0.32%,"1,000"
"Mar 13, 2023",385.5,385.5,385.5,385.5,335.14,-3.69%,100
"Mar 3, 2023",401,401,400,400.25,347.97,4.50%,400
"Feb 27, 2023",383,383,383,383,332.97,0.13%,"2,300"
"Feb 24, 2023",386,386,380,382.5,332.53,-7.83%,700
"Feb 21, 2023",415,415,415,415,360.79,-,200
"Feb 20, 2023",415,415,415,415,360.79,-,200
"Feb 16, 2023",415,415,415,415,360.79,7.51%,100
"Feb 15, 2023",386,386,386,386,335.58,-6.99%,400
"Feb 14, 2023",415,415,415,415,360.79,-0.78%,300
"Feb 13, 2023",420,420,415,418.25,363.61,4.56%,600
"Feb 7, 2023",400,400,400,400,347.75,-1.23%,700
"Feb 2, 2023",405,405,405,405,352.09,-0.25%,100
"Jan 31, 2023",406,406,406,406,352.96,-3.33%,200
"Jan 27, 2023",420,420,420,420,365.14,-,400
"Jan 26, 2023",420,420,420,420,365.14,0.42%,400
"Jan 20, 2023",420,420,406,418.25,363.61,-0.42%,800
"Jan 18, 2023",420,420,420,420,365.14,9.02%,100
"Jan 12, 2023",386.5,386.5,385.25,385.25,334.92,0.06%,"4,600"
"Dec 29, 2022",385,385,385,385,334.71,-1.28%,300
"Dec 23, 2022",390,390,390,390,339.05,-6.70%,100
"Dec 21, 2022",418,418,418,418,363.4,-0.48%,100
"Dec 20, 2022",420,420,420,420,365.14,-,400
"Dec 13, 2022",420,420,420,420,365.14,-,"1,500"
"Dec 9, 2022",420,420,420,420,365.14,0.48%,100
"Nov 29, 2022",418,418,418,418,363.4,10.00%,100
"Nov 21, 2022",380,380,380,380,330.36,-2.56%,100
"Nov 18, 2022",390,390,390,390,339.05,-7.14%,700
"Nov 17, 2022",420,420,420,420,365.14,-,200
"Nov 15, 2022",420,420,420,420,365.14,-,200
"Nov 14, 2022",420,420,420,420,365.14,-,100
"Nov 10, 2022",420,420,420,420,365.14,-,200
"Nov 9, 2022",420,420,420,420,365.14,1.20%,400
"Nov 4, 2022",410,420,410,415,360.79,1.22%,400
"Nov 2, 2022",410,410,410,410,356.44,-2.38%,100
"Oct 28, 2022",420,420,420,420,365.14,-,200
"Oct 26, 2022",420,420,420,420,365.14,-,100
"Oct 21, 2022",420,420,420,420,365.14,7.69%,500
"Oct 19, 2022",390,390,390,390,339.05,-7.14%,"1,000"
"Oct 17, 2022",420,420,420,420,365.14,-,200
"Oct 7, 2022",420,420,420,420,365.14,-,400
"Oct 6, 2022",420,420,420,420,365.14,-,"3,700"
"Oct 5, 2022",420,420,420,420,365.14,6.46%,100
"Oct 4, 2022",394.5,394.5,394.5,394.5,342.97,-,700
"Oct 3, 2022",394.5,394.5,394.5,394.5,342.97,-,600
"Sep 30, 2022",394.25,394.5,394.25,394.5,342.97,0.25%,400
"Sep 28, 2022",390,394.5,390,393.5,342.1,0.90%,400
"Sep 26, 2022",390,390,390,390,339.05,-,300
"Sep 16, 2022",390,390,390,390,339.05,-,300
"Sep 14, 2022",390,390,390,390,339.05,-1.02%,600
"Sep 12, 2022",398,398,390,394,342.53,7.07%,200
"Sep 6, 2022",368,368,368,368,319.93,-7.77%,100
"Sep 5, 2022",399,399,399,399,346.88,-,200
"Sep 2, 2022",399,399,399,399,346.88,-,100
"Sep 1, 2022",399,399,399,399,346.88,-0.19%,700
"Aug 29, 2022",400,400,399.5,399.75,347.53,-0.06%,"1,000"
"Aug 26, 2022",400,400,400,400,347.75,-,100
"Aug 23, 2022",400,400,400,400,347.75,8.62%,300
"Aug 19, 2022",368.25,368.25,368.25,368.25,320.15,-7.94%,"1,900"
"Aug 17, 2022",400,400,400,400,347.75,-,"1,100"
"Aug 15, 2022",400,400,400,400,347.75,8.62%,100
"Aug 3, 2022",368.25,368.25,368.25,368.25,320.15,0.20%,"1,500"
"Jul 28, 2022",370,370,365,367.5,319.49,-8.13%,200
"Jul 22, 2022",400,400,400,400,347.75,-1.23%,100
"Jul 19, 2022",405,405,405,405,352.09,-1.10%,100
"Jul 12, 2022",390,429,390,409.5,356.01,5.00%,200
"Jul 8, 2022",397.5,397.5,390,390,339.05,-1.89%,"428,100"
"Jul 6, 2022",399,399,397.25,397.5,345.57,-9.92%,"1,100"
"Jun 27, 2022",450,450,424,441.25,383.61,4.07%,300
"Jun 20, 2022",424,424,424,424,368.61,-,100
"Jun 9, 2022",424,424,424,424,368.61,9.84%,100
"Jun 6, 2022",386,386,386,386,335.58,-3.98%,100
"May 20, 2022",440,440,400,402,330.36,0.50%,"2,000"
